City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,bay city,43.5945,-83.8889,13.95,37,0,3.6,US,1710377072
334,lensk,60.7253,114.9278,-12.74,94,100,2.45,RU,1710377072
335,road town,18.4167,-64.6167,26.05,72,7,6.61,VG,1710377073
336,ketchikan,55.3422,-131.6461,6.99,93,100,9.77,US,1710377073
337,mabaruma,8.2,-59.7833,25.9,75,5,3.04,GY,1710377073
338,itaituba,-4.2761,-55.9836,24.43,98,100,1.05,BR,1710377073
339,whangarei,-35.7317,174.3239,26.41,40,7,0.34,NZ,1710377074
340,hasaki,35.7333,140.8333,10.22,52,62,3.55,JP,1710377074
341,pangody,65.85,74.4859,-22.45,95,99,4.52,RU,1710377074
342,karratha,-20.7377,116.8463,29.17,63,100,4.2,AU,1710377075
343,kokstad,-30.5472,29.4241,14.97,98,100,1.27,ZA,1710377075
344,mount pearl,47.5166,-52.7813,0.08,97,100,4.63,CA,1710377075
345,kollam,8.8833,76.6,25.54,89,39,2.61,IN,1710377076
346,newman,37.3138,-121.0208,18.13,58,20,5.75,US,1710376838
347,zhanaozen,43.3,52.8,-1.26,57,11,6.76,KZ,1710377076
348,lasem,-6.6922,111.4527,27.51,83,100,11.33,ID,1710377076
349,gobernador virasora,-28.05,-56.0333,28.91,92,5,0.45,AR,1710377077
350,at taraf,25.3628,49.725,14.3,51,44,2.8,SA,1710377077
351,sao vicente,-23.9631,-46.3919,26.82,26,80,1.96,BR,1710376993
352,vila franca do campo,37.7167,-25.4333,18.27,99,70,5.18,PT,1710377077
353,rubtsovsk,51.5,81.25,-11.45,94,77,4.36,RU,1710377078
354,kish,26.5578,54.0194,19.15,88,50,2.06,IR,1710377078
355,nema,57.5067,50.5011,-3.57,95,100,4.33,RU,1710377078
356,ostrov,57.3439,28.3537,1.85,93,100,3.64,RU,1710377079
357,prince rupert,54.3161,-130.3201,7.05,81,100,16.46,CA,1710376977
358,lewistown,40.5992,-77.5714,14.89,50,0,2.06,US,1710376960
359,hamburg,53.55,10.0,9.78,98,75,4.63,DE,1710377021
360,placido de castro,-10.3353,-67.1856,27.63,76,81,0.68,BR,1710377080
